"form","rtol","a","omega","phi","N","hopping","onsite","next onsite","NNN","NNN overtop"
"Linear-m","",30,3.7,0.,51,0.14552733539682494+0.00006004852688818578*I,-0.0000161809986310474+0.00003929666080162856*I,0.00004165173905794524+0.00004167525428157926*I,0.000013996132008708495-0.0024081743241645185*I,-1.2470000114389937*^-6-0.0023376858278871438*I
"Linear-m","",30,4.7,0.,51,0.24020322340758832-0.000024138820085847214*I,-6.3740487510465654*^-6+0.00004085423826863359*I,0.00005773594704983672+0.000040848755246837996*I,0.00002505877182118737-0.002353235640000335*I,4.4716969341872595*^-6-0.002271823817014039*I
"Linear-m","",30,5.7,0.,51,-0.08862051515792027-0.00003125081870058499*I,-0.00006411055159120027+0.00004102364588106669*I,0.000047760210120456614+0.00004081927224395992*I,0.000015434575300910143-0.002399398722080268*I,-7.743395325057354*^-6-0.0023217797141832056*I
"Linear-m","",30,6.7,0.,51,-0.32563381044246925-7.239750304153676*^-7*I,-0.00004857673751763001+0.00004112986196200677*I,-0.000025735652042752077+0.00004151861274645556*I,-0.000026899007681245764-0.002405332189396979*I,-2.0799440382818918*^-6-0.0023430603682908094*I
"Linear-m","",30,7.7,0.,51,-0.40191589825202323+0.000015628573553481412*I,-5.935325644378098*^-6+0.00004149446254010459*I,4.10833423379435*^-6+0.00004102769705054666*I,-1.099643225978622*^-6-0.0023116548853642964*I,6.718286786333572*^-7-0.0022425754656473377*I
"Linear-m","",30,8.7,0.,51,-0.3724511390667621+0.00002608992018637174*I,0.000029940235063589254+0.00004150266585714252*I,1.862416062637512*^-6+0.00004181778324828412*I,6.199851443466214*^-7-0.0022313539273896414*I,1.7571265173450118*^-6-0.0021912585569958494*I
"Linear-m","",30,9.7,0.,51,-0.28988087798341566+0.00003481788434384531*I,0.000022810608045488803+0.00004083497045037763*I,0.000022262826373506406+0.000040969439290065357*I,7.631064492296183*^-7-0.002139825414350813*I,-1.1774996234656387*^-7-0.0020871267628572304*I
"Linear-m","",30,10.7,0.,51,-0.18657775631434206+0.00003734990643373109*I,0.000022599756626863476+0.00003981769503948717*I,0.0000301009565337562+0.00003995059520821546*I,2.2092954705789716*^-6-0.002078504975593118*I,1.5753241237349835*^-7-0.002027820412342835*I
"Linear-m","",30,11.7,0.,51,-0.079781780961897+0.00003734555186235153*I,0.000023482681179539007+0.000039607643044074513*I,0.00001711735209377046+0.00003974675449710306*I,3.2621937504008925*^-6-0.0020534554647148083*I,3.966379205664694*^-6-0.0020114017836181074*I
"Linear-m","",30,12.7,0.,51,0.022507545799891476+0.00003454017304673092*I,-6.040387690494894*^-6+0.00004070317998911245*I,0.000010854302001006046+0.000040669942973556817*I,-0.000011368430164081456-0.0019260774136195334*I,-0.000012634024001656214-0.001883307196001302*I
"Linear-m","",30,13.7,0.,51,0.1160850194084956+0.00003220934826540594*I,8.323299679218257*^-6+0.00003999926604681986*I,0.000022719464709112158+0.00003998475855514802*I,-6.787746325634392*^-7-0.0019212084323381236*I,-2.482388303576841*^-6-0.0018774403825528873*I
"Linear-m","",30,14.7,0.,51,0.20042410039352138+0.000029466054121388593*I,0.000024032338028300015+0.00003941208627149631*I,0.000032863607239378735+0.00003941971295541979*I,-8.992130733293316*^-7-0.0018753160994225543*I,-1.0903336160640598*^-6-0.0018234503227845336*I
"Linear-m","",30,15.7,0.,51,0.27553230772797194+0.00002858345850834424*I,0.000021868613055552044+0.00003814682324584825*I,-5.542139660420255*^-6+0.000038337179297469994*I,-1.1807539656368167*^-6-0.0018435696302307762*I,-6.08666821027247*^-7-0.0018166840899110324*I
"Linear-m","",30,16.7,0.,51,0.342077341521863+0.000025666474886782687*I,7.491948525787523*^-6+0.00003936634698160929*I,1.9862114681015383*^-6+0.000039508466981599306*I,-6.906019109648859*^-7-0.0017220674373181687*I,-5.212004372989916*^-7-0.001708698265205936*I
"Linear-m","",30,17.7,0.,51,0.4009192764734296+0.000024108823884865597*I,7.872758883836761*^-6+0.00003731609955055071*I,-2.9034867992669758*^-6+0.00003741076999234433*I,-4.0344156171205625*^-8-0.0017082979395865664*I,-7.700870115721903*^-8-0.0017018356045170968*I
"Linear-m","",30,18.7,0.,51,0.4529598331649797+0.000021031206919384776*I,6.032868707988789*^-7+0.0000374007790917166*I,8.454888031188268*^-7+0.00003737724661628807*I,-2.1327684582685483*^-7-0.0016464519622979177*I,-3.0167607421340004*^-7-0.0016442932801313205*I
"Linear-m","",30,19.7,0.,51,0.4990442745809979+0.00001824054550757314*I,7.767191017701218*^-8+0.00003671605060162941*I,2.202619583425991*^-7+0.00003671639833989977*I,-4.391637282402487*^-7-0.0015546481181784894*I,-5.653890249902871*^-7-0.0015509852030816645*I
"Linear-m","",30,3.7,0.4487989505128276,51,-0.1353749337209779+0.053456505930948466*I,0.000022160292942506425+0.00004208799376307895*I,0.00003229878172117742+0.00004359402133253847*I,-0.001706161725539013-0.001857731006675469*I,-0.001698459083427835-0.0017981165358912877*I
"Linear-m","",30,4.7,0.4487989505128276,51,-0.223741800194008-0.08727965790362087*I,-2.0234980102583344*^-6+0.00004091016167428648*I,0.000017967492778174412+0.000041207303613541386*I,0.0016803751678664616-0.0018088334473475027*I,0.0016257675104784713-0.0017712194652218629*I
"Linear-m","",30,5.7,0.4487989505128276,51,0.057888751194057446+0.06706339589934308*I,0.000013537858211802394+0.00004104158783815443*I,7.729881118831265*^-7+0.000041718512439196344*I,0.002435032524621581+0.0003866323754773427*I,0.002372728712265809+0.0003429467938593695*I
"Linear-m","",30,6.7,0.4487989505128276,51,0.11831427674762125+0.3033641210916766*I,5.370585599112778*^-6+0.00004176391721569322*I,0.000036445692720569675+0.00004207633229210028*I,0.001570329920368192+0.001762173289773605*I,0.0015690421854386502+0.0017059378565118816*I
"Linear-m","",30,7.7,0.4487989505128276,51,0.04796694246964433+0.3990259692067309*I,0.000015701022334506563+0.000042475426727960695*I,0.00003170424825291+0.000042503258090713836*I,0.0005275431479008105+0.0022551175744308536*I,0.0005362419520839375+0.002199211762158674*I
"Linear-m","",30,8.7,0.4487989505128276,51,-0.027770414206755502+0.37140613958871527*I,0.00002083526528390972+0.00004190291087478843*I,-0.000016905178446753252+0.00004245785974602035*I,-0.00032311618280599867+0.002216578142279565*I,-0.00032819480098157574+0.0021719690340708748*I
"Linear-m","",30,9.7,0.4487989505128276,51,-0.06575864016881701+0.2823238922465069*I,0.00004229619639153741+0.000040130192069540404*I,0.00006160191707054244+0.000040148559687537915*I,-0.000974116626686056+0.001974437141682557*I,-0.0009372745597202962+0.001901160389361137*I
"Linear-m","",30,10.7,0.4487989505128276,51,-0.06470844946174292+0.17499218685110646*I,0.00002020354061945881+0.00003935354614059553*I,0.00005852010702416281+0.00003917126534302508*I,-0.001395513873567361+0.0016303249801386806*I,-0.0013515100446665467+0.0015763729314417028*I
"Linear-m","",30,11.7,0.4487989505128276,51,-0.035273689720946445+0.07155674458370596*I,0.000028058832963376735+0.00003919636374640387*I,0.000023489045845205905+0.00003924590562516219*I,-0.0017331113249799766+0.0013240273677052696*I,-0.0016937143660053717+0.0012960773213326659*I
"Linear-m","",30,12.7,0.4487989505128276,51,0.011718397585655738-0.019249380498282308*I,0.000016153975626175188+0.00003899255309105201*I,0.00002704778792619563+0.000039171227506794255*I,-0.0018315807853879406+0.0009608285609170025*I,-0.001777275000782409+0.0009336325483200682*I
"Linear-m","",30,13.7,0.4487989505128276,51,0.06753749430492867-0.09442685706864268*I,0.000021075528817908473+0.00003858170239187543*I,3.608550331980938*^-6+0.00003869537460517627*I,-0.0019071990046173495+0.0006501723016016858*I,-0.0018690544909659083+0.0006409647578249332*I
"Linear-m","",30,14.7,0.4487989505128276,51,0.12687285994987219-0.15515885480943756*I,0.000022149764096642682+0.00003822085775181932*I,-7.664881063029066*^-6+0.000038464073243660414*I,-0.0020075301918914086+0.0004099614291590047*I,-0.0019785176342562005+0.00040204015264319473*I
"Linear-m","",30,15.7,0.4487989505128276,51,0.1861560187934624-0.2031383828176821*I,-4.941096095945063*^-6+0.00003693406691564939*I,7.710135352464662*^-6+0.00003655653281622951*I,-0.0020430365850477063+0.00017886539224330972*I,-0.0020343135063767104+0.00017854329527416815*I
"Linear-m","",30,16.7,0.4487989505128276,51,0.24333865941674102-0.24042429664007706*I,-2.250862650597955*^-6+0.000038054216561472644*I,-3.103053914758902*^-7+0.00003804098671775917*I,-0.0018936046713560184-0.00002207463583016019*I,-0.0018818673347816193-0.000021643516698874668*I
"Linear-m","",30,17.7,0.4487989505128276,51,0.2973218806419284-0.2689547621906765*I,-3.003908687758026*^-7+0.00003685450999025619*I,-1.3834157436293931*^-6+0.00003683221374461493*I,-0.0018286919363109985-0.00018283893644345582*I,-0.0018249035682549562-0.00018265603449891046*I
"Linear-m","",30,18.7,0.4487989505128276,51,0.3475998710341484-0.29042679471144417*I,0.000016687023631691857+0.00003705287824520867*I,9.549993821387354*^-7+0.000037117991188349344*I,-0.001756817895384307-0.0003173954950512661*I,-0.0017507020643503825-0.00031640688693057237*I
"Linear-m","",30,19.7,0.4487989505128276,51,0.39402445095730787-0.3062501200128249*I,2.4632841778843154*^-8+0.00003674693984523579*I,-2.3186779680873376*^-6+0.000036786334929885004*I,-0.0016354710607979996-0.0004160681067043345*I,-0.001634787366985714-0.00041593269506403144*I
"Linear-m","",30,3.7,0.5235987755982988,51,-0.08907909521394862+0.11507386735099992*I,0.00007127119415348184+0.00003963624946746627*I,4.552244962136194*^-6+0.000039910434461656595*I,-0.002426424585406848+0.0006297124739227144*I,-0.0023145523736554847+0.0005960258960314763*I
"Linear-m","",30,4.7,0.5235987755982988,51,-0.23990223107140307+0.01202623867714034*I,-0.000015514764828925345+0.00004019250208014408*I,-0.000044419939720499735+0.00004168382444990746*I,-0.00024967711444721843-0.0024995115652225825*I,-0.00022550163215339508-0.0023949023985559625*I
"Linear-m","",30,5.7,0.5235987755982988,51,0.07731800723943048+0.043321719220525835*I,-0.00004096228053334657+0.00004093129152236119*I,-0.000050320250988989974+0.000040465237616866334*I,0.0020668578908264166-0.001320552755409348*I,0.002029599359407706-0.0012611385603753496*I
"Linear-m","",30,6.7,0.5235987755982988,51,0.2016594496653919+0.25563537311768153*I,-2.280876530938447*^-6+0.000042230781607544245*I,0.000051537872214740474+0.00004092217919107599*I,0.002313295722073975+0.0005874802963422212*I,0.0022731845287877975+0.0005494581182557013*I
"Linear-m","",30,7.7,0.5235987755982988,51,0.1480382533563073+0.3736427319893638*I,-2.4557240181855237*^-6+0.00004236282611243288*I,-0.000016084704333467828+0.000042451874414292686*I,0.0015997570192827935+0.0016919376100487933*I,0.001568540056928823+0.001669645592382191*I
"Linear-m","",30,8.7,0.5235987755982988,51,0.05688604456627075+0.36806388821633146*I,0.00002305543319226029+0.00004164482516341363*I,0.000016842316844394023+0.00004162358839784502*I,0.0006600643312599147+0.0021484389912246778*I,0.0006642317748094245+0.0020969946796529203*I
"Linear-m","",30,9.7,0.5235987755982988,51,-0.007064197691114412+0.2897937408592691*I,0.00002264752696517179+0.00003947020730559846*I,0.000017366475268092672+0.00003980662315295097*I,-0.00012465291449548395+0.0021068268044623748*I,-0.00010080848736603552+0.002067765392989792*I
"Linear-m","",30,10.7,0.5235987755982988,51,-0.03134986361433878+0.18392150186514333*I,0.000011360722868135331+0.00003944751662268148*I,0.000016880261539519142+0.000039579238110900465*I,-0.0007062705696573184+0.0020110407944344717*I,-0.0006928184513427735+0.0019690326910002023*I
"Linear-m","",30,11.7,0.5235987755982988,51,-0.022699628382360285+0.07648008979019881*I,0.00005900787896928475+0.00003770601890006646*I,0.00005084532770652456+0.00003802434904617994*I,-0.001169102581563799+0.0017763457808646303*I,-0.0011193971639350399+0.0017170244465661657*I
"Linear-m","",30,12.7,0.5235987755982988,51,0.008580011685204432-0.020842001549664722*I,0.00002552163170303917+0.000038988790733968504*I,0.000012592793639145034+0.00003932861173603107*I,-0.001455066174329358+0.001480744525702338*I,-0.00141517787049767+0.0014458708615023505*I
"Linear-m","",30,13.7,0.5235987755982988,51,0.05320664996293103-0.10318364367138282*I,0.000024091776678660144+0.00003724786744820517*I,-7.478086966491949*^-6+0.00003745426979299501*I,-0.001657257609573287+0.0011810971527871884*I,-0.0016313803396468007+0.001164443969833694*I
"Linear-m","",30,14.7,0.5235987755982988,51,0.1048454804188967-0.1708182307806296*I,0.000013024662338033746+0.00003755491466532393*I,-6.431102394990375*^-6+0.00003754605198228966*I,-0.0018119764423575504+0.0009217936440180162*I,-0.0017918414704697293+0.0009115252941194823*I
"Linear-m","",30,15.7,0.5235987755982988,51,0.1590788158646434-0.22497617935072678*I,0.00002932511350624452+0.000037863946813015814*I,-6.1699890735447335*^-6+0.00003824266815786274*I,-0.0018595246645133677+0.0006585208275890638*I,-0.0018312727377101483+0.0006484400026998778*I
"Linear-m","",30,16.7,0.5235987755982988,51,0.21313734684399468-0.2675626777020015*I,0.000016541002435444766+0.000036899571931491614*I,-2.656857804908888*^-6+0.00003700946840119774*I,-0.0019144088927823232+0.0004397769020325433*I,-0.0018943108778973596+0.0004351645610023488*I
"Linear-m","",30,17.7,0.5235987755982988,51,0.26538119269388827-0.300517566323034*I,0.000014226944773861814+0.000036849792671386583*I,3.105461978004237*^-6+0.00003693377949814108*I,-0.0018512535205664569+0.00023092544661476285*I,-0.001840653518775443+0.00022952477239995654*I
"Linear-m","",30,18.7,0.5235987755982988,51,0.31489607227182476-0.325596041182999*I,1.7005329278506538*^-6+0.00003698821710561183*I,-1.5699700400759187*^-6+0.0000370513673051361*I,-0.0017925601876364388+0.000060410890035479886*I,-0.0017901760355892105+0.00006044883991095616*I
"Linear-m","",30,19.7,0.5235987755982988,51,0.36124535156844156-0.344306523050723*I,1.5857942817897193*^-6+0.00003660374424466844*I,0.00001214863755220029+0.00003659516728621893*I,-0.0016636212103317508-0.0000794966817581034*I,-0.0016595021000319495-0.00007916919006010874*I
"Linear-m","",30,3.7,0.6283185307179586,51,0.0077130292496204915+0.1453235826298461*I,2.3275669209094074*^-6+0.000043111064717241685*I,0.00003831868958524727+0.000042333160181707155*I,0.00026922867383935307+0.002529665010431371*I,0.00027083363242971195+0.0024554968582443056*I
"Linear-m","",30,4.7,0.6283185307179586,51,-0.19679772764080772+0.13766136092133807*I,2.1813474409496797*^-6+0.00004130866639132492*I,-0.000018190062657599555+0.00004212022301377698*I,-0.0023316151297340594-0.0008376461515371839*I,-0.002274453861809621-0.0008354182356105897*I
"Linear-m","",30,5.7,0.6283185307179586,51,0.08848996202883572+0.004312538723441026*I,8.434306788015545*^-6+0.00003813180829293859*I,0.00003409908595765365+0.000039310392274299315*I,0.00024839233043571227-0.002340427479994404*I,0.000214099770297562-0.0022637205964305346*I
"Linear-m","",30,6.7,0.6283185307179586,51,0.2842065472286619+0.15892377198120866*I,0.000031935697628562854+0.00004049683958890849*I,0.000015111090611289249+0.0000411857051219271*I,0.0020034064855090987-0.001234143797801058*I,0.001940277192875853-0.0011892632585020898*I
"Linear-m","",30,7.7,0.6283185307179586,51,0.26476203566152534+0.3023592063854585*I,0.00004913352020897535+0.00004019277636415204*I,-8.353252015673093*^-6+0.00004060758390966221*I,0.002362743540225082+0.0003120407130542272*I,0.0023061770368208905+0.00030733811760474267*I
"Linear-m","",30,8.7,0.6283185307179586,51,0.16402326651460758+0.3343752966150789*I,0.000011151801079739416+0.00004138690861838988*I,0.000046731760601643677+0.00004086681734991678*I,0.0017943513768821045+0.001399563810292346*I,0.0017490060809292485+0.0013535727012047357*I
"Linear-m","",30,9.7,0.6283185307179586,51,0.07090139284451645+0.28107035204427006*I,0.00005496666685277096+0.00003870529414158034*I,1.8175773841624943*^-6+0.0000395058906879422*I,0.001048800502882114+0.0019239501197232678*I,0.0010082663067240566+0.0018724566160901145*I
"Linear-m","",30,10.7,0.6283185307179586,51,0.014400551453406046+0.18602196907284352*I,0.000043650879035643866+0.000039398685829124826*I,0.000029110504462504048+0.00003974472431259759*I,0.00033749840606860527+0.002144631575629789*I,0.0003219923077933933+0.0020769881133154144*I
